max_votos,seccion_id,agrupacion_nombre,seccion_nombre
15681,1,LA LIBERTAD AVANZA,Ushuaia
18126,2,LA LIBERTAD AVANZA,Río Grande
125,3,LA LIBERTAD AVANZA,Antártida Argentina
1765,5,LA LIBERTAD AVANZA,Tolhuin
