max_votos,seccion_nombre,agrupacion_nombre,seccion_id
15928,Ushuaia,LA LIBERTAD AVANZA,1
23712,Río Grande,UNION POR LA PATRIA,2
137,Antártida Argentina,LA LIBERTAD AVANZA,3
1883,Tolhuin,LA LIBERTAD AVANZA,5
