eleccion_tipo,provincia,agrupacion,votos
GENERAL,Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21238
GENERAL,Neuquén,LA LIBERTAD AVANZA,155394
GENERAL,La Pampa,UNION POR LA PATRIA,79229
GENERAL,Misiones,LA LIBERTAD AVANZA,305629
GENERAL,Misiones,JUNTOS POR EL CAMBIO,104787
GENERAL,Misiones,HACEMOS POR NUESTRO PAIS,29966
GENERAL,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10036
GENERAL,Mendoza,LA LIBERTAD AVANZA,469367
GENERAL,Mendoza,JUNTOS POR EL CAMBIO,286475
GENERAL,Mendoza,HACEMOS POR NUESTRO PAIS,47958
GENERAL,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38572
GENERAL,Tucumán,UNION POR LA PATRIA,471145
PASO,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,299097
PASO,Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,15886
PASO,Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,78014
PASO,Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,813264
PASO,Buenos Aires,HACEMOS POR NUESTRO PAIS,97586
PASO,Buenos Aires,LA LIBERTAD AVANZA,2161679
PASO,Buenos Aires,JUNTOS POR EL CAMBIO,2567840
PASO,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,293601
PASO,Entre Ríos,UNION POR LA PATRIA,232570
PASO,San Juan,UNION POR LA PATRIA,122284
PASO,Corrientes,JUNTOS POR EL CAMBIO,213104
PASO,Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6055
PASO,Corrientes,LA LIBERTAD AVANZA,181456
PASO,Corrientes,HACEMOS POR NUESTRO PAIS,8929
PASO,Río Negro,UNION POR LA PATRIA,106258
PASO,Misiones,JUNTOS POR EL CAMBIO,122528
PASO,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,8674
PASO,Misiones,LA LIBERTAD AVANZA,277899
PASO,Misiones,HACEMOS POR NUESTRO PAIS,8610
PASO,San Luis,UNION POR LA PATRIA,49314
PASO,Santa Fe,UNION POR LA PATRIA,386865
PASO,Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,12335
PASO,Salta,HACEMOS POR NUESTRO PAIS,12820
PASO,Salta,JUNTOS POR EL CAMBIO,111009
PASO,Salta,LA LIBERTAD AVANZA,318910
PASO,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3294
PASO,Santa Cruz,HACEMOS POR NUESTRO PAIS,3679
PASO,Santa Cruz,JUNTOS POR EL CAMBIO,28111
PASO,Santa Cruz,LA LIBERTAD AVANZA,52189
PASO,Catamarca,UNION POR LA PATRIA,87513
PASO,Santiago del Estero,LA LIBERTAD AVANZA,142042
PASO,Santiago del Estero,JUNTOS POR EL CAMBIO,55912
PASO,Santiago del Estero,HACEMOS POR NUESTRO PAIS,7605
PASO,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5606
PASO,La Pampa,LA LIBERTAD AVANZA,66280
PASO,La Pampa,HACEMOS POR NUESTRO PAIS,7504
PASO,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3695
PASO,La Pampa,JUNTOS POR EL CAMBIO,57387
PASO,La Rioja,LA LIBERTAD AVANZA,69607
PASO,La Rioja,HACEMOS POR NUESTRO PAIS,13371
PASO,La Rioja,JUNTOS POR EL CAMBIO,38659
PASO,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1869
PASO,Tucumán,UNION POR LA PATRIA,313085
GENERAL,Chaco,UNION POR LA PATRIA,310962
GENERAL,Formosa,UNION POR LA PATRIA,187229
GENERAL,San Juan,JUNTOS POR EL CAMBIO,103118
GENERAL,San Juan,LA LIBERTAD AVANZA,155821
