max_votos,seccion_nombre,agrupacion_nombre,seccion_id
23700,Deseado,UNION POR LA PATRIA,1
2864,Lago Buenos Aires,UNION POR LA PATRIA,2
2867,Magallanes,LA LIBERTAD AVANZA,3
1212,Río Chico,UNION POR LA PATRIA,4
3177,Corpen Aike,LA LIBERTAD AVANZA,5
6212,Lago Argentino,UNION POR LA PATRIA,6
26160,Güer Aike,UNION POR LA PATRIA,7
