max_votos,seccion_nombre,agrupacion_nombre,seccion_id
19147,Deseado,LA LIBERTAD AVANZA,1
2016,Lago Buenos Aires,LA LIBERTAD AVANZA,2
2258,Magallanes,LA LIBERTAD AVANZA,3
680,Río Chico,LA LIBERTAD AVANZA,4
2477,Corpen Aike,LA LIBERTAD AVANZA,5
4572,Lago Argentino,UNION POR LA PATRIA,6
21481,Güer Aike,LA LIBERTAD AVANZA,7
